source	target	mor	confidenceLevel	resource
cpxR	SL2103	1	Strong	RegulonDB
cpxR	SL2104	1	Strong	RegulonDB
cpxR	SL2105	1	Strong	RegulonDB
cpxR	SL2106	1	Strong	RegulonDB
cpxR	SL2107	1	Strong	RegulonDB
cpxR	SL2108	1	Strong	RegulonDB
cpxR	SL2237	1	Strong	RegulonDB
cpxR	SL2444	1	Strong	RegulonDB
cpxR	SL2601	-1	Weak	RegulonDB
cpxR	SL2602	-1	Weak	RegulonDB
cpxR	SL2603	-1	Weak	RegulonDB
cpxR	SL2604	-1	Weak	RegulonDB
cpxR	SL2611	-1	Strong	RegulonDB
cpxR	SL2657	-1	Weak	RegulonDB
cpxR	SL2779	1	Strong	RegulonDB
cpxR	SL2780	1	Strong	RegulonDB
cpxR	SL3019	1	Weak	RegulonDB
cpxR	SL3199	1	Strong	RegulonDB
cpxR	SL3200	1	Strong	RegulonDB
cpxR	SL3439	1	Strong	RegulonDB
cpxR	SL3533	1	Weak	RegulonDB
cpxR	SL3944	1	Strong	RegulonDB
cpxR	SL3945	1	Strong	RegulonDB
cpxR	SL4007	1	Strong	RegulonDB
cpxR	SL4008	1	Strong	RegulonDB
cpxR	SL4009	1	Strong	RegulonDB
cpxR	SL4284	-1	Weak	RegulonDB
cpxR	SL4285	-1	Weak	RegulonDB
cpxR	SL4311	1	Weak	RegulonDB
cpxR	SL4464	-1	Strong	RegulonDB
cpxR	SL4509	1	Strong	RegulonDB
creB	SL2306	1	Weak	RegulonDB
creB	SL2307	1	Weak	RegulonDB
creB	SL2436	1	Weak	RegulonDB
creB	SL3155	1	Weak	RegulonDB
creB	SL3156	1	Weak	RegulonDB
creB	SL3157	1	Weak	RegulonDB
creB	SL3158	1	Weak	RegulonDB
creB	SL3159	1	Weak	RegulonDB
creB	SL3710	1	Weak	RegulonDB
creB	SL4163	-1	Weak	RegulonDB
creB	SL4164	-1	Weak	RegulonDB
creB	SL4166	-1	Weak	RegulonDB
creB	SL4517	1	Strong	RegulonDB
crp	SL0142	1	Strong	RegulonDB
crp	SL0143	1	Strong	RegulonDB
crp	SL0144	1	Strong	RegulonDB
crp	SL0145	1	Weak	RegulonDB
crp	SL0146	-1	Weak	RegulonDB
crp	SL0147	-1	Weak	RegulonDB
crp	SL0159	1	Weak	RegulonDB
crp	SL0171	1	Strong	RegulonDB
crp	SL0187	1	Weak	RegulonDB
crp	SL0188	1	Weak	RegulonDB
crp	SL0238	-1	Weak	RegulonDB
crp	SL0239	-1	Weak	RegulonDB
crp	SL0240	-1	Weak	RegulonDB
crp	SL0241	-1	Weak	RegulonDB
crp	SL0242	-1	Weak	RegulonDB
crp	SL0360	1	Strong	RegulonDB
crp	SL0362	1	Strong	RegulonDB
crp	SL0363	1	Strong	RegulonDB
crp	SL0364	1	Strong	RegulonDB
crp	SL0366	1	Strong	RegulonDB
crp	SL0389	1	Strong	RegulonDB
crp	SL0407	1	Strong	RegulonDB
crp	SL0433	1	Weak	RegulonDB
crp	SL0434	1	Weak	RegulonDB
crp	SL0435	1	Weak	RegulonDB
crp	SL0436	1	Weak	RegulonDB
crp	SL0437	1	Weak	RegulonDB
crp	SL0445	1	Strong	RegulonDB
crp	SL0560	1	Weak	RegulonDB
crp	SL0572	1	Weak	RegulonDB
crp	SL0573	1	Weak	RegulonDB
crp	SL0583	1	Weak	RegulonDB
crp	SL0584	1	Weak	RegulonDB
crp	SL0585	1	Weak	RegulonDB
crp	SL0586	1	Weak	RegulonDB
crp	SL0587	1	Weak	RegulonDB
crp	SL0588	1	Strong	RegulonDB
crp	SL0607	-1	Weak	RegulonDB
crp	SL0608	-1	Weak	RegulonDB
crp	SL0609	-1	Weak	RegulonDB
crp	SL0610	-1	Weak	RegulonDB
crp	SL0611	-1	Weak	RegulonDB
crp	SL0612	-1	Weak	RegulonDB
crp	SL0613	-1	Weak	RegulonDB
crp	SL0614	-1	Weak	RegulonDB
crp	SL0617	1	Strong	RegulonDB
crp	SL0638	1	Weak	RegulonDB
crp	SL0650	1	Strong	RegulonDB
crp	SL0666	1	Strong	RegulonDB
crp	SL0667	1	Strong	RegulonDB
crp	SL0669	1	Weak	RegulonDB
crp	SL0670	1	Weak	RegulonDB
crp	SL0675	1	Strong	RegulonDB
crp	SL0712	1	Strong	RegulonDB
crp	SL0714	1	Strong	RegulonDB
crp	SL0715	1	Strong	RegulonDB
crp	SL0716	1	Strong	RegulonDB
crp	SL0717	1	Strong	RegulonDB
crp	SL0718	1	Strong	RegulonDB
crp	SL0719	1	Strong	RegulonDB
crp	SL0720	1	Strong	RegulonDB
crp	SL0721	1	Strong	RegulonDB
crp	SL0750	1	Strong	RegulonDB
crp	SL0751	1	Strong	RegulonDB
crp	SL0752	1	Strong	RegulonDB
crp	SL0753	1	Strong	RegulonDB
crp	SL0758	1	Weak	RegulonDB
crp	SL0759	1	Weak	RegulonDB
crp	SL0760	1	Weak	RegulonDB
crp	SL0882	1	Strong	RegulonDB
crp	SL0910	1	Strong	RegulonDB
crp	SL0911	1	Strong	RegulonDB
crp	SL0914	-1	Strong	RegulonDB
crp	SL0915	-1	Strong	RegulonDB
crp	SL0936	1	Weak	RegulonDB
crp	SL0941	-1	Weak	RegulonDB
crp	SL1006	1	Strong	RegulonDB
crp	SL1010	1	Weak	RegulonDB
crp	SL1044	1	Strong	RegulonDB
crp	SL1056	1	Weak	RegulonDB
crp	SL1063	-1	Weak	RegulonDB
crp	SL1068	1	Strong	RegulonDB
crp	SL1069	1	Strong	RegulonDB
crp	SL1076	1	Weak	RegulonDB
crp	SL1077	1	Weak	RegulonDB
crp	SL1078	1	Weak	RegulonDB
crp	SL1079	1	Weak	RegulonDB
crp	SL1150	-1	Strong	RegulonDB
crp	SL1151	-1	Strong	RegulonDB
crp	SL1164	1	Confirmed	CollecTF
crp	SL1225	1	Weak	RegulonDB
crp	SL1234	-1	Weak	RegulonDB
crp	SL1247	1	Strong	RegulonDB
crp	SL1248	1	Strong	RegulonDB
crp	SL1249	1	Strong	RegulonDB
crp	SL1250	1	Strong	RegulonDB
crp	SL1251	1	Strong	RegulonDB
crp	SL1252	1	Strong	RegulonDB
crp	SL1363	-1	Weak	RegulonDB
crp	SL1397	1	Weak	RegulonDB
crp	SL1398	1	Strong	RegulonDB
crp	SL1400	1	Strong	RegulonDB
crp	SL1418	1	Weak	RegulonDB
crp	SL1435	1	Strong	RegulonDB
crp	SL1436	1	Strong	RegulonDB
crp	SL1448	1	Weak	RegulonDB
crp	SL1449	1	Weak	RegulonDB
crp	SL1450	1	Weak	RegulonDB
crp	SL1542	1	Strong	RegulonDB
crp	SL1543	1	Strong	RegulonDB
crp	SL1544	1	Strong	RegulonDB
crp	SL1545	1	Strong	RegulonDB
crp	SL1546	1	Strong	RegulonDB
crp	SL1547	1	Strong	RegulonDB
crp	SL1548	1	Strong	RegulonDB
crp	SL1556	1	Strong	RegulonDB
crp	SL1644	1	Weak	RegulonDB
crp	SL1648	-1	Weak	RegulonDB
crp	SL1663	-1	Strong	RegulonDB
crp	SL1710	1	Strong	RegulonDB
crp	SL1730	1	Strong	RegulonDB
crp	SL1731	1	Strong	RegulonDB
crp	SL1747	1	Strong	RegulonDB
crp	SL1759	1	Strong	RegulonDB
crp	SL1760	1	Strong	RegulonDB
crp	SL1761	1	Strong	RegulonDB
crp	SL1859	1	Strong	RegulonDB
crp	SL1860	1	Strong	RegulonDB
crp	SL2037	1	Strong	RegulonDB
crp	SL2160	1	Strong	RegulonDB
crp	SL2163	1	Weak	RegulonDB
crp	SL2164	1	Weak	RegulonDB
crp	SL2165	1	Strong	RegulonDB
crp	SL2166	1	Strong	RegulonDB
crp	SL2167	1	Strong	RegulonDB
crp	SL2168	1	Strong	RegulonDB
crp	SL2176	1	Weak	RegulonDB
crp	SL2188	1	Weak	RegulonDB
crp	SL2241	1	Weak	RegulonDB
crp	SL2245	1	Weak	RegulonDB
crp	SL2246	1	Weak	RegulonDB
crp	SL2247	1	Weak	RegulonDB
crp	SL2248	1	Weak	RegulonDB
crp	SL2251	1	Strong	RegulonDB
crp	SL2252	1	Strong	RegulonDB
crp	SL2253	1	Strong	RegulonDB
crp	SL2254	1	Strong	RegulonDB
crp	SL2255	1	Strong	RegulonDB
crp	SL2328	-1	Weak	RegulonDB
crp	SL2360	1	Strong	RegulonDB
crp	SL2377	1	Weak	RegulonDB
crp	SL2394	1	Strong	RegulonDB
crp	SL2395	1	Strong	RegulonDB
crp	SL2396	1	Strong	RegulonDB
crp	SL2442	-1	Weak	RegulonDB
crp	SL2443	-1	Weak	RegulonDB
crp	SL2471	1	Strong	RegulonDB
crp	SL2515	1	Weak	RegulonDB
crp	SL2532	1	Strong	RegulonDB
crp	SL2601	1	Strong	RegulonDB
crp	SL2602	1	Strong	RegulonDB
crp	SL2603	1	Strong	RegulonDB
crp	SL2604	1	Strong	RegulonDB
crp	SL2610	1	Weak	RegulonDB
